"sitename","siteid","datasetid","altitude","longitude","latitude"
"Slow River",2493,2577,265,-100.75,63.03333
"Smoot Lake Bog",2494,2578,292,-82.44583,40.20556
"Cobweb Swamp (Sawgrass Core)",16484,25785,8,-88.3681,17.93554
"Cobweb Swamp (Sawgrass Core)",16484,25786,8,-88.3681,17.93554
"Bereziuk",252,258,205,-76.12028,54.04722
"Snowshoe Lake",2496,2580,900,-120.66667,57.45
"Cobweb Swamp (Canal Fill Core)",16496,25805,8,-88.38042,17.93595
"Cobweb Swamp (Canal Fill Core)",16496,25806,8,-88.38042,17.93595
"Cobweb Swamp (Excavation 4BB)",16497,25807,8,-88.36,17.94289
"Solum Lake",2497,2581,397,-96.25,46.66222
"South Stanchfield Lake",2500,2584,293,-93.46667,45.725
"Spectacle Lake",2501,2585,283,-93.40833,45.57222
"Spirit Lake",2502,2586,203,-86.95833,46.47
"Splains Gulch",2503,2587,3150,-107.06889,38.83278
"Splains Lake",2504,2588,3165,-107.08325,38.82933
"Spring Lake",2506,2590,835,-119.58333,55.51139
"Spring Lake",2507,2591,342,-76.35,41.67389
"Spruce Pond",2508,2592,223,-74.18424,41.23597
"Spruce Pond",2508,2593,223,-74.18424,41.23597
"Stages Pond",2512,2597,212,-82.9375,39.66806
"Stages Pond",2512,2598,212,-82.9375,39.66806
"Starkweather Pond",2513,2599,2438,-119.0675,37.6625
"Berry Pond",254,260,600,-73.31667,42.5
"St. Catherines Lake",2514,2600,287,-93.43988,44.62305
"Lac Saint-Jean",2515,2601,97,-72,48.5
"Lac Saint-Jean",2515,2602,97,-72,48.5
"Saint John Island Pond",2516,2603,137,-58.91667,53.95
"Stockbridge Bowl",2517,2604,274,-73.15,42.33333
"Stone Lake",2518,2605,NA,-93.52222,45.4
"Stone Lake Tamarack Swamp",2519,2606,288,-93.69167,44.89167
"Stone Lake Tamarack Swamp",2519,2607,288,-93.69167,44.89167
"Stotzel-Leis Site",2520,2608,309,-84.68944,40.21667
"Stotzel-Leis Site",2520,2609,309,-84.68944,40.21667
"Sugarloaf Pond",2521,2610,100,-52.66667,47.61667
"Sulphur Lake",2522,2611,847,-137.95778,60.95
"Sunfish Lake",2524,2613,NA,-93.1,44.87472
"Surprise Lake",2526,2615,540,-122.56279,49.31934
"Sutherland Pond",2527,2616,380,-74.03778,41.39139
"Sutherland Pond",2527,2617,380,-74.03778,41.39139
"Swamp Lake",2529,2619,1554,-119.81667,37.95
"BI01",256,262,190,-76.39,57.11333
"Swan Lake",2530,2620,1164,-102.51851,41.71443
"Swartswood Lake",2531,2621,150,-74.85321,41.06347
"Sweet Little Lake",2532,2622,NA,-132.01667,67.65
"Szabo Pond",2533,2623,29,-74.48333,40.4
"Tamarack Creek",2534,2624,244,-91.45,44.15
"Roe Lake",14039,26245,100,-123.30328,48.7827
"Roe Lake",14039,26246,100,-123.30328,48.7827
"Tangle Lakes",2535,2625,NA,-146.06333,63.02944
"Tannersville Bog",2536,2626,277,-75.27217,41.03345
"Williams Street Bog",2538,2628,5,-71.06667,41.9
"Taupawshas Bog",2539,2629,14,-70.05833,41.275
"Lake BI2",257,263,210,-76.37833,57.11667
"Taylor Creek Site 2",2540,2630,5,-80.64389,25.20556
"Taylor Lake",2541,2631,4,-123.90667,46.10056
"Quamichan Lake",16613,26312,33,-123.67876,48.78707
"Quamichan Lake",16613,26313,33,-123.67876,48.78707
"Florence Lake",16614,26314,81,-123.5159,48.45582
"Florence Lake",16614,26315,81,-123.5159,48.45582
"Taylor Slough Site 15",2542,2632,5,-80.68722,25.20194
"Sunflower Pond",16618,26322,530,-98.49006,38.19801
"Sunflower Pond",16618,26323,530,-98.49006,38.19801
"Hodgeman County Fishing Lake",16619,26324,690,-99.83451,38.04263
"Hodgeman County Fishing Lake",16619,26325,690,-99.83451,38.04263
"St. Jacob's Tank",16620,26326,704,-99.98086,37.24138
"St. Jacob's Tank",16620,26327,704,-99.98086,37.24138
"Smokey Valley Ranch Pond 1",16621,26328,880,-100.96614,38.88738
"Smokey Valley Ranch Pond 1",16621,26329,880,-100.96614,38.88738
"Taylor Slough Site 7",2543,2633,5,-80.64639,25.28722
"Ray Ranch Pond",16622,26330,1144,-102.44627,41.03497
"Ray Ranch Pond",16622,26331,1144,-102.44627,41.03497
"Snake Pond",16623,26332,1069,-102.1828,41.46981
"Snake Pond",16623,26333,1069,-102.1828,41.46981
"West Brenmenn",16624,26334,1135,-102.13543,41.49664
"West Brenmenn",16624,26335,1135,-102.13543,41.49664
"Maybe Pond",16625,26336,1153,-102.33719,40.38854
"Maybe Pond",16625,26337,1153,-102.33719,40.38854
"Island Lake",16626,26338,1154,-102.41128,41.72645
"Island Lake",16626,26339,1154,-102.41128,41.72645
"Telegraph Creek",2544,2634,2130,-112.39556,46.53111
"Salt Pond",16627,26340,1165,-102.50892,41.75352
"Salt Pond",16627,26341,1165,-102.50892,41.75352
"Martin Lake",16628,26342,1172,-102.52787,41.81259
"Martin Lake",16628,26343,1172,-102.52787,41.81259
"Cowboy Pond",16629,26344,761,-101.71481,43.89385
"Cowboy Pond",16629,26345,761,-101.71481,43.89385
"Shell Shock Pond",16630,26346,893,-102.27232,43.90247
"Shell Shock Pond",16630,26347,893,-102.27232,43.90247
"Smith Dam",16631,26348,539,-100.28636,44.26192
"Smith Dam",16631,26349,539,-100.28636,44.26192
"South Lake Flat Dam",16632,26350,628,-100.34912,44.07075
"South Lake Flat Dam",16632,26351,628,-100.34912,44.07075
"Aermo Pond",16633,26352,930,-101.19482,42.73035
"Aermo Pond",16633,26353,930,-101.19482,42.73035
"Oasis Pond",16634,26354,891,-100.88417,42.65255
"Oasis Pond",16634,26355,891,-100.88417,42.65255
"Cattle Tank 4",16635,26356,880,-100.47281,41.94247
"Cattle Tank 4",16635,26357,880,-100.47281,41.94247
"Horseshoe Lake",16636,26358,542,-98.47839,38.10757
"Horseshoe Lake",16636,26359,542,-98.47839,38.10757
"Ten Lakes",2546,2636,2743,-119.53333,37.9
"Gordo Pond",16637,26360,1001,-101.72697,37.16048
"Gordo Pond",16637,26361,1001,-101.72697,37.16048
"Sticker Melon Pond",16638,26362,1068,-102.00349,37.08699
"Sticker Melon Pond",16638,26363,1068,-102.00349,37.08699
"College Pond",16639,26364,1054,-101.91346,37.09008
"College Pond",16639,26365,1054,-101.91346,37.09008
"Mayor Ranch Pond",16640,26366,938,-101.55414,36.71246
"Mayor Ranch Pond",16640,26367,938,-101.55414,36.71246
"Coyote Pond",16641,26368,1218,-102.47396,36.43287
"Coyote Pond",16641,26369,1218,-102.47396,36.43287
"Ten Mile Lake",2547,2637,1000,-145.7,63.06667
"Ibis Pond",16642,26370,1306,-102.66897,36.389
"Ibis Pond",16642,26371,1306,-102.66897,36.389
"Mesquite Pond",16643,26372,1106,-102.43566,35.70455
"Mesquite Pond",16643,26373,1106,-102.43566,35.70455
"Half Boiled Pond",16644,26374,655,-99.83921,35.62142
"Half Boiled Pond",16644,26375,655,-99.83921,35.62142
"Dead Indian Lake",16645,26376,636,-99.72254,35.74495
"Dead Indian Lake",16645,26377,636,-99.72254,35.74495
"Caddo Lake",16646,26378,523,-98.73264,34.73723
"Caddo Lake",16646,26379,523,-98.73264,34.73723
"Quallen Lake [Terhell Pond]",2548,2638,448,-95.79,47.19078
"Bottle Pond",16647,26380,498,-98.58558,34.72599
"Bottle Pond",16647,26381,498,-98.58558,34.72599
"Crater Lake",16648,26382,446,-98.62619,34.70445
"Crater Lake",16648,26383,446,-98.62619,34.70445
"Petit Lac Terrien",2549,2639,404,-70.62,46.58
"BI03",258,264,250,-76.405,57.12333
"Thompson Pond",2550,2640,368,-96.095,47.19388
"Tiinkdhul Lake",2551,2641,189,-143.15,66.58333
"Tiinkdhul Lake",2551,2642,189,-143.15,66.58333
"Tioga Pass Pond",2553,2644,3018,-119.25833,37.90833
"Titicut Swamp",2554,2645,20,-71.03333,41.95
"Thompson Landing",2555,2646,180,-110.79167,63.06667
"Toboggan Lake",2556,2647,1480,-114.60076,50.81468
"Toenjes Lake",2557,2648,NA,-93.98339,45.40793
"BI04",259,265,250,-76.415,57.12333
"Tonawa Lake",2560,2651,274,-77.175,44.85
"Tonquin Creek",2561,2652,1935,-118.36667,52.73333
"Wahl 2002 Surface Sample Site 1",16679,26526,2774,-116.78194,34.20278
"Wahl 2002 Surface Sample Site 2",16680,26527,2746,-116.76472,34.2
"Wahl 2002 Surface Sample Site 3",16681,26528,2707,-116.76583,34.20111
"Wahl 2002 Surface Sample Site 4",16682,26529,2597,-116.85528,34.20833
"Lac à la Tortue",2562,2653,137,-73.31694,45.54583
"Wahl 2002 Surface Sample Site 5",16683,26530,2499,-116.78083,34.1225
"Wahl 2002 Surface Sample Site 6",16684,26531,2481,-116.78222,34.12472
"Little Green Valley Meadow",10248,26532,2225,-117.05259,34.23287
"Wahl 2002 Surface Sample Site 8",16685,26533,2228,-117.00583,34.26611
"Wahl 2002 Surface Sample Site 9",16686,26534,2228,-117.00611,34.26806
"Wahl 2002 Surface Sample Site 10",16687,26535,2438,-116.71778,34.17222
"Wahl 2002 Surface Sample Site 11",16688,26536,2926,-116.6725,33.80056
"Wahl 2002 Surface Sample Site 12",16689,26537,2402,-116.89944,34.22194
"Wahl 2002 Surface Sample Site 13",16690,26538,2286,-116.91417,34.28139
"Wahl 2002 Surface Sample Site 14",16691,26539,2682,-116.65333,33.80667
"Lac à la Tortue",2562,2654,137,-73.31694,45.54583
"Wahl 2002 Surface Sample Site 15",16692,26540,2170,-116.79972,34.14833
"Wahl 2002 Surface Sample Site 16",16693,26541,2170,-116.79972,34.14833
"Wahl 2002 Surface Sample Site 17",16694,26542,1890,-116.60444,32.94889
"Taquitz Meadow",10284,26543,2405,-116.66502,33.76797
"Wahl 2002 Surface Sample Site 21",16695,26544,1692,-116.49111,32.94389
"Wahl 2002 Surface Sample Site 22",16696,26545,1829,-116.42333,32.8375
"Wahl 2002 Surface Sample Site 23",16697,26546,1682,-116.98222,34.13472
"Wahl 2002 Surface Sample Site 24",16698,26547,1573,-116.58778,32.95417
"Wahl 2002 Surface Sample Site 25",16699,26548,1554,-116.48222,32.8525
"Hual Cu Cuish Meadow",10243,26549,1451,-116.586,32.964
"Wahl 2002 Surface Sample Site 28",16700,26550,1439,-116.57389,32.97083
"Wahl 2002 Surface Sample Site 29",16701,26551,1228,-116.59444,33.08944
"Wahl 2002 Surface Sample Site 30",16702,26552,1573,-116.9075,33.33694
"Wahl 2002 Surface Sample Site 33",16703,26553,1384,-116.55972,32.94944
"Wahl 2002 Surface Sample Site 34",16704,26554,1132,-116.52139,32.85056
"Wahl 2002 Surface Sample Site 35",16705,26555,1125,-116.52278,32.85139
"Wahl 2002 Surface Sample Site 36",16706,26556,1414,-116.83389,33.29111
"Wahl 2002 Surface Sample Site 37",16707,26557,1073,-116.61861,32.81917
"Wahl 2002 Surface Sample Site 38",16708,26558,1091,-116.60806,32.86917
"Wahl 2002 Surface Sample Site 39",16709,26559,1061,-116.62139,32.8225
"Wahl 2002 Surface Sample Site 40",16710,26560,817,-116.74167,32.85583
"Wahl 2002 Surface Sample Site 41",16711,26561,244,-117.09278,33.03028
"Great Swamp (Highbush Blueberry)",16717,26571,90,-74.474,40.697
"Great Swamp (Highbush Blueberry)",16717,26572,90,-74.474,40.697
"Great Swamp (Red Maple Swamp)",16718,26573,90,-74.43,40.718
"Great Swamp (Red Maple Swamp)",16718,26574,90,-74.43,40.718
"BI05",260,266,260,-76.40833,57.125
"Lake 239",16729,26605,387,-93.72746,49.65882
"Lake 239",16729,26606,387,-93.72746,49.65882
"Tuktoyaktuk 5",2569,2661,60,-133.45,69.05
"Lake Tulane",2570,2662,32,-81.50634,27.58253
"Lake Tahoe",16741,26629,1897,-120.07027,39.12527
"Lake Tulane",2570,2663,32,-81.50634,27.58253
"Lake Tahoe",16741,26630,1897,-120.07027,39.12527
"Tunica Bayou Site 22",2574,2667,31,-91.51944,30.96278
"St. Jones River (SJB6)",16766,26672,-3,-75.44766,39.07771
"St. Jones River (SJB6)",16766,26673,-3,-75.44766,39.07771
"St. Jones River (SJC6)",16767,26674,-3,-75.4553,39.09
"St. Jones River (SJC6)",16767,26675,-3,-75.4553,39.09
"Tunica Bayou Site 23",2575,2668,31,-91.51944,30.96194
"Tunturi Lake",2576,2669,610,-67.5,55.01667
"Taquitz Meadow",10284,26694,2405,-116.66502,33.76797
"Taquitz Meadow",10284,26695,2405,-116.66502,33.76797
"Hual Cu Cuish Meadow",10243,26696,1451,-116.586,32.964
"Hual Cu Cuish Meadow",10243,26697,1451,-116.586,32.964
"Hual Cu Cuish Meadow",10243,26698,1451,-116.586,32.964
"Banks Island 74MS11",261,267,30,-124.26667,71.75
"Lac Turcotte",2577,2670,447,-65.76278,49.15778
"Haleakalā Volcano 10G",16781,26707,2182,-156.13519,20.73893
"Haleakalā Volcano 10H",16782,26708,2158,-156.1349,20.73958
"Haleakalā Volcano 10J",16783,26709,2109,-156.13414,20.74128
"Lac Turcotte",2577,2671,447,-65.76278,49.15778
"Haleakalā Volcano 10K",16784,26710,2085,-156.13392,20.74178
"Haleakalā Volcano 10L",16785,26711,2060,-156.13375,20.74219
"Haleakalā Volcano 10M",16786,26712,2036,-156.13371,20.74269
"Haleakalā Volcano 10N",16787,26713,2012,-156.13298,20.74317
"Haleakalā Volcano 10O",16788,26714,1987,-156.13285,20.74386
"Haleakalā Volcano 10P",16789,26715,1963,-156.13306,20.74465
"Haleakalā Volcano 10Q",16790,26716,1939,-156.13287,20.74514
"Haleakalā Volcano 10R",16791,26717,1914,-156.13264,20.7456
"Haleakalā Volcano 11B",16792,26718,2304,-156.14195,20.73657
"Haleakalā Volcano 11K",16793,26719,2085,-156.1393,20.74254
"Tuskegee Pond",2578,2672,240,-84.21056,35.58472
"Haleakalā Volcano 11L",16794,26720,2060,-156.1392,20.74282
"Haleakalā Volcano 11M",16795,26721,2036,-156.13897,20.74331
"Haleakalā Volcano 11N",16796,26722,2012,-156.13874,20.74376
"Haleakalā Volcano 11O",16797,26723,1987,-156.13866,20.74424
"Haleakalā Volcano 11P",16798,26724,1963,-156.13827,20.74472
"Haleakalā Volcano 11Q",16799,26725,1939,-156.13823,20.74511
"Haleakalā Volcano 11R",16800,26726,1914,-156.13795,20.74572
"Haleakalā Volcano 12K",16801,26727,2085,-156.14245,20.74372
"Haleakalā Volcano 12L",16802,26728,2060,-156.14243,20.7441
"Haleakalā Volcano 12M",16803,26729,2036,-156.14221,20.74462
"Tuskegee Pond",2578,2673,240,-84.21056,35.58472
"Haleakalā Volcano 12N",16804,26730,2012,-156.14217,20.74507
"Haleakalā Volcano 12O",16805,26731,1987,-156.14243,20.74554
"Haleakalā Volcano 12P",16806,26732,1963,-156.14199,20.74593
"Haleakalā Volcano 12Q",16807,26733,1939,-156.14277,20.74653
"Haleakalā Volcano 12R",16808,26734,1914,-156.14293,20.74688
"Haleakalā Volcano 13K",16809,26735,2085,-156.14568,20.74286
"Haleakalā Volcano 13L",16810,26736,2060,-156.14477,20.74368
"Haleakalā Volcano 13M",16811,26737,2036,-156.14478,20.74441
"Haleakalā Volcano 13N",16812,26738,2012,-156.14508,20.74503
"Haleakalā Volcano 13O",16813,26739,1987,-156.14539,20.74533
"Haleakalā Volcano 13P",16814,26740,1963,-156.14546,20.74582
"Haleakalā Volcano 13Q",16815,26741,1939,-156.14521,20.74616
"Haleakalā Volcano 13R",16816,26742,1914,-156.14515,20.74664
"Haleakalā Volcano 5E",16817,26743,2231,-156.12346,20.73482
"Haleakalā Volcano 5F",16818,26744,2207,-156.12276,20.735
"Haleakalā Volcano 5G",16819,26745,2182,-156.1219,20.73512
"Haleakalā Volcano 5H",16820,26746,2158,-156.12119,20.73541
"Haleakalā Volcano 5I",16821,26747,2134,-156.12046,20.73561
"Haleakalā Volcano 5J",16822,26748,2109,-156.1202,20.73567
"Haleakalā Volcano 5K",16823,26749,2085,-156.11939,20.73554
"Marinuka",2580,2675,211,-91.34639,44.08306
"Haleakalā Volcano 5L",16824,26750,2060,-156.11888,20.73575
"Haleakalā Volcano 5M",16825,26751,2036,-156.11451,20.73697
"Haleakalā Volcano 5N",16826,26752,2012,-156.11337,20.73704
"Haleakalā Volcano 5O",16827,26753,1987,-156.11319,20.73729
"Haleakalā Volcano 5P",16828,26754,1963,-156.11243,20.73724
"Haleakalā Volcano 5Q",16829,26755,1939,-156.11246,20.7378
"Haleakalā Volcano 5R",16830,26756,1914,-156.11134,20.73753
"Haleakalā Volcano 6G",16831,26757,2182,-156.12321,20.73588
"Haleakalā Volcano 6H",16832,26758,2158,-156.12287,20.73616
"Haleakalā Volcano 6I",16833,26759,2134,-156.12188,20.73654
"Merrick State Park",2581,2676,NA,-91.74806,44.15167
"Haleakalā Volcano 6J",16834,26760,2109,-156.1213,20.73675
"Haleakalā Volcano 6K",16835,26761,2085,-156.12108,20.73737
"Haleakalā Volcano 6L",16836,26762,2060,-156.12087,20.73783
"Haleakalā Volcano 6M",16837,26763,2036,-156.12045,20.73812
"Haleakalā Volcano 6N",16838,26764,2012,-156.11982,20.73875
"Haleakalā Volcano 6O",16839,26765,1987,-156.11856,20.74007
"Haleakalā Volcano 6P",16840,26766,1963,-156.11781,20.74032
"Haleakalā Volcano 6Q",16841,26767,1939,-156.11744,20.74067
"Haleakalā Volcano 6R",16842,26768,1914,-156.11674,20.74063
"Haleakalā Volcano 7E",16843,26769,2231,-156.12661,20.73639
"Haeusser Farm Pond",2582,2677,NA,-91.7,44.2
"Haleakalā Volcano 7F",16844,26770,2207,-156.12594,20.7369
"Haleakalā Volcano 7G",16845,26771,2182,-156.12479,20.73718
"Haleakalā Volcano 7H",16846,26772,2158,-156.12432,20.73769
"Haleakalā Volcano 7I",16847,26773,2134,-156.12404,20.73802
"Haleakalā Volcano 7J",16848,26774,2109,-156.12391,20.73842
"Haleakalā Volcano 7K",16849,26775,2085,-156.12364,20.73881
"Haleakalā Volcano 8beta",16850,26776,2377,-156.13398,20.73234
"Haleakalā Volcano 8G",16851,26777,2182,-156.12709,20.73848
"Haleakalā Volcano 8H",16852,26778,2158,-156.12695,20.73909
"Haleakalā Volcano 8I",16853,26779,2134,-156.12656,20.7396
"Bugle",2583,2678,237,-91.41972,44.35833
"Haleakalā Volcano 8J",16854,26780,2109,-156.1256,20.74038
"Haleakalā Volcano 8K",16855,26781,2085,-156.12518,20.74082
"Haleakalā Volcano 8L",16856,26782,2060,-156.12499,20.74143
"Haleakalā Volcano 8M",16857,26783,2036,-156.12483,20.7417
"Haleakalā Volcano 8N",16858,26784,2012,-156.1246,20.74192
"Haleakalā Volcano 8O",16859,26785,1987,-156.12442,20.74218
"Haleakalā Volcano 8P",16860,26786,1963,-156.12401,20.74245
"Haleakalā Volcano 8Q",16861,26787,1939,-156.12413,20.74297
"Haleakalā Volcano 8R",16862,26788,1914,-156.12407,20.74381
"Haleakalā Volcano 9G",16863,26789,2182,-156.13075,20.73851
"Strum",2584,2679,271,-91.39222,44.55472
"Haleakalā Volcano 9H",16864,26790,2158,-156.13038,20.73919
"Haleakalā Volcano 9I",16865,26791,2134,-156.12976,20.73998
"Haleakalā Volcano 9J",16866,26792,2109,-156.12972,20.74042
"Haleakalā Volcano 9K",16867,26793,2085,-156.1295,20.74084
"Haleakalā Volcano 9L",16868,26794,2060,-156.12918,20.74143
"Banks Island 74MS12",262,268,220,-119.83333,72.36667
"Dead",2585,2680,NA,-92.04583,44.58056
"Silver Birch",2586,2681,NA,-92.02722,44.59806
"Thompson (US:Wisconsin)",2587,2682,NA,-91.98667,44.63444
"Eau Galle",2588,2683,231,-92,44.7
"Altoona",2589,2684,244,-91.44333,44.81944
"Menomin",2590,2685,248,-91.92889,44.88389
"Tainter",2591,2686,266,-91.88917,44.93556
"Pike",2592,2687,334,-91.07861,45.07917
"Cornell",2593,2688,309,-91.33694,45.11833
"Marsh Miller",2594,2689,311,-91.39278,45.14111
"Banks Island 74MS15",263,269,120,-120.21667,73.53333
"Friendly Pond",2595,2690,NA,-92,45.2
"Island",2596,2691,NA,-91.4,45.3
"Amacoy Lake",2597,2692,324,-91.32273,45.39092
"Bass (WI1)",2598,2693,397,-91.4925,45.42472
"Park",2599,2694,NA,-91.1,45.5
"Tomahawk",2600,2695,483,-89.7,45.8
"Trout",2601,2696,492,-89.67056,46.04306
"Sparkling",2602,2697,495,-89.69944,46.01
"Weber",2603,2698,NA,-89.7,46
"Helmet",2604,2699,NA,-89.7,46
"Aliuk Pond",27,27,25,-57.36667,54.58333
"Little St. Germain",2605,2700,NA,-89.5,45.9
"South Twin",2606,2701,513,-89.13,46.05111
"Kentuck",2607,2702,519,-89,46
"Emily",2608,2703,381,-88.28333,45.87472
"North (WI1)",2609,2704,NA,-88.2,45.9
"Ellwood",2610,2705,343,-88.14194,45.85778
"West Bass",2611,2706,395,-88.335,45.77778
"Hilbert",2612,2707,NA,-88.4,45.7
"Pine (WI1)",2613,2708,498,-89,45.7
"Clear",2614,2709,474,-89.35361,45.61639
"Biggsville [Cessford Quarry]",265,271,198,-90.88,40.85556
"Scattered Rice",2615,2710,476,-88.68333,45.57306
"Bishop",2616,2711,469,-89.01389,45.48806
"Rolling Stone",2617,2712,468,-88.94639,45.43417
"Enterprise",2618,2713,504,-89.24139,45.45528
"Duck",2619,2714,523,-89.25083,45.38278
"Mueller",2620,2715,NA,-88.91417,45.16
"Vejo",2621,2716,271,-88.52139,45.04389
"Meyer",2622,2717,415,-89.07444,45.05139
"Kolpack",2623,2718,364,-88.98944,45.17917
"Norrie",2624,2719,392,-89.26333,44.88472
"Big John Pond",266,272,421,-94.97224,47.55817
"Berry Lake",2625,2720,257,-88.47944,44.88833
"White Clay",2626,2721,246,-88.40417,44.80139
"Kroening",2627,2722,NA,-88.87111,44.80472
"Bog Pond",2628,2723,NA,-88.9,44.8
"Pine (WI2)",2629,2724,NA,-88.65778,44.68611
"Twin",2630,2725,NA,-88.98944,44.56722
"North (WI2)",2631,2726,NA,-89.1,44.6
"School Section",2632,2727,NA,-88.92944,44.54972
"White",2633,2728,246,-88.93111,44.36583
"Partridge Crop",2634,2729,228,-88.86139,44.34889
"Silver",2635,2730,NA,-89.37083,44.34917
"Stratton",2636,2731,270,-89.18139,44.29167
"Wayside Pond",2637,2732,NA,-89.3,44.1
"Tuttle",2638,2733,248,-89.29111,43.93083
"Fox",2639,2734,272,-88.91972,43.55917
"Fish Lake",10265,2735,261,-89.66241,43.2821
"Farm Pond",2641,2736,NA,-90,43.1
"Montfort",2642,2737,NA,-90.43306,42.97167
"Cox Hollow",2643,2738,292,-90.10556,43.01306
"Raemisch Farm Pond",2644,2739,NA,-90,43
"Big Pond",268,274,634,-78.55,39.76667
"Stewart",2645,2740,NA,-89.8,43
"Weedy Farm Pond",2646,2741,NA,-89.7,43.1
"Mendota",2647,2742,259,-89.4,43.1
"Harriet",2648,2743,NA,-89.44833,42.92639
"Kegonsa",2649,2744,257,-89.3,43
"Bass (WI2)",2650,2745,265,-89.25722,42.88583
"Gibbs",2651,2746,295,-89.18028,42.78278
"Koshkonong",2652,2747,237,-89,42.9
"Ripley",2653,2748,255,-88.99194,43.00139
"Rock",2654,2749,252,-88.93167,43.08139
"Billy's Lake",269,275,383,-94.55363,46.2693
"Lancaster Lake",2655,2750,215,-84.01667,45.62
"Carpenter Lake",2656,2751,274,-84.73,45.3
"Weber Lake",2657,2752,255,-83.95,45.28
"Lost Lake",2658,2753,195,-83.97179,45.29036
"Esau Lake",2659,2754,274,-85.28,45.18
"One Lake",2660,2755,411,-84.7,45.05
"Gaylanta Lake",2661,2756,413,-84.3,44.98
"Jackson Lake",2662,2757,280,-84.31667,45.08
"Beaver Lake",2663,2758,232,-83.8,44.93
"South Twin Lake",2664,2759,259,-85.72,44.75
"Bishops Falls",270,276,75,-55.50556,48.93611
"East Lake",2665,2760,315,-85.15611,44.63667
"Shupac Lake",2666,2761,351,-84.48,44.82
"South Perry Lake",2667,2762,335,-84.1,44.73
"Brownlee Lake",2668,2763,188,-83.4,44.68
"Healy Lake",2669,2764,251,-86,44.43
"Crystal Lake",2670,2765,274,-85.97,44.2
"Round Lake",2671,2766,395,-85.33,44.32
"Higgins Lake",2672,2767,349,-84.7,44.43
"Rifle Lake",2673,2768,378,-84.48,44.25
"Hackert Lake [Crystal Lake]",2674,2769,271,-83.97,44.42
"North Lake",2675,2770,186,-86.32,43.98
"Wells Lake",2676,2771,253,-85.83,43.85
"Budd Lake",2677,2772,312,-85.42,44
"Clear Lake",2678,2773,357,-84.94492,43.89009
"Bently Lake",2679,2774,229,-84.18,44
"Rush Lake",2680,2775,183,-83.17,43.98
"Woodland Lake",2681,2776,253,-85.87,43.7
"Clear Lake",2682,2777,324,-85.40147,43.67521
"Littlefield Lake",2683,2778,290,-84.95,43.77
"Salsuesha Lake",2684,2779,240,-84.73,43.62
"Black Pond",272,278,262,-84.18667,35.62083
"Topico Marsh",2685,2780,248,-84.83,43.47
"Half Moon Lake",2686,2781,180,-83.93,43.73
"Watcheer Pond",2687,2782,181,-83.82,43.05
"Duck Lake",2688,2783,235,-86.08,43.35
"Crockery Lake",2689,2784,215,-85.85,43.17
"Lincoln Lake",2690,2785,255,-85.35,43.27
"Holland Lake",2691,2786,255,-85.05,43.23
"Otter Lake",2692,2787,259,-83.47,43.22
"Shay Lake",2693,2788,216,-83.25,43.38
"Long Lake",2694,2789,255,-85.12,43.12
"Blacktail Pond",273,279,2012,-110.60615,44.95312
"Campau Lake",2695,2790,239,-85.47,42.83
"Mullenkin Lake",2696,2791,260,-84.88,42.8
"Round Lake",2697,2792,254,-84.45,42.88
"Bryam Lake",2698,2793,259,-83.8,42.8
"Hutchin's Lake",2699,2794,192,-86.13,42.58
"Guernsey Lake",2700,2795,274,-85.42,42.55
"Narrow Lake",2701,2796,285,-84.78,42.45
"Taylor Lake",2702,2797,285,-84.7,42.58
"Blind Lake",2703,2798,280,-83.98,42.37
"Pickerel Lake",2704,2799,280,-84.02,42.43
"Blandin Pond",274,280,468,-93.66667,47.13333
"Whitmore Lake",2705,2800,322,-83.75,42.45
"Murray Lake",2706,2801,271,-83.61667,42.33
"Sodon Lake",2707,2802,297,-83.3,42.58
"Rush Lake",2708,2803,198,-86.2,42.23
"Crooked Lake",2709,2804,283,-85.52,42.32
"Pleasant Lake",2710,2805,280,-85.12,42.18
"Lyon Lake",2711,2806,306,-84.42,42.18
"Lee Lake",2712,2807,244,-86.18,42.08
"Hayck Lake",2713,2808,274,-85.7,41.95
"Vandercook Lake",2714,2809,300,-84.98,41.8
"BL-Tombigbee",275,281,49,-88.47444,33.56333
"Round Lake",2715,2810,320,-84.28,41.95
"Douglas Lake",2716,2811,215,-84.67,45.58
"Crystal Lake",2717,2812,484,-89.63,46.02
"Upper Bass Lake",2718,2813,366,-91.2,45.52
"Little John Jr. Lake",2719,2814,497,-89.64086,46.00258
"Menominee Site 1 (Webb unpublished)",2720,2815,NA,-88.51,44.87
"Menominee Site 2 (Webb unpublished)",2721,2816,NA,-88.52,44.88
"Menominee Site 3 (Webb unpublished)",2722,2817,NA,-88.85,44.98
"Menominee Site 4 (Webb unpublished)",2723,2818,NA,-88.49,44.9
"Menominee Site 5 (Webb unpublished)",2724,2819,NA,-88.55,44.89
"Blackhoof Site",276,282,328,-92.57333,46.50333
"Menominee Site 6 (Webb unpublished)",2725,2820,NA,-88.6,44.89
"Menominee Site 7 (Webb unpublished)",2726,2821,NA,-88.71,45.07
"Menominee Site 8 (Webb unpublished)",2727,2822,NA,-88.7,45.01
"Menominee Site 9 (Webb unpublished)",2728,2823,NA,-88.66,44.88
"Menominee Site 10 (Webb unpublished)",2729,2824,NA,-88.63,45.08
"Menominee Site 11 (Webb unpublished)",2730,2825,NA,-88.57,44.98
