"sitename","siteid","datasetid","altitude","longitude","latitude","sitedescription","depositionalenvironment"
"Site 3 (Mott unpublished)",2039,2114,274,-80.7,49.22,NA,"Unknown"
"Site 4 (Mott unpublished)",2040,2115,30,-83.07,52.73,NA,"Unknown"
"Site 5 (Mott unpublished)",2041,2116,91,-82.2,50,NA,"Unknown"
"Site 6 (Mott unpublished)",2042,2117,274,-85.72,49.8,NA,"Unknown"
"Site 7 (Mott unpublished)",2043,2118,299,-64.92,45.65,NA,"Unknown"
"Site 8 (Mott unpublished)",2044,2119,243,-65.3,45.58,NA,"Unknown"
"Site 9 (Mott unpublished)",2045,2120,137,-65.58,45.58,NA,"Unknown"
"Site 10 (Mott unpublished)",2046,2121,76,-66.3,45.92,NA,"Unknown"
"Site 11 (Mott unpublished)",2047,2122,160,-66.87,45.78,NA,"Unknown"
"Site 12 (Mott unpublished)",2048,2123,91,-66.63,46.02,NA,"Unknown"
"Site 13 (Mott unpublished)",2049,2124,30,-64.28,46.17,NA,"Unknown"
"Site 14 (Mott unpublished)",2050,2125,106,-65.23,46.35,NA,"Unknown"
"Site 15 (Mott unpublished)",2051,2126,91,-65.21667,46.67,NA,"Unknown"
"Site 16 (Mott unpublished)",2052,2127,91,-65.55,46.65,NA,"Unknown"
"Site 17 (Mott unpublished)",2053,2128,45,-65.85,47.08,NA,"Unknown"
"Site 18 (Mott unpublished)",2054,2129,76,-65.9,47.05,NA,"Unknown"
"Site 19 (Mott unpublished)",2055,2130,91,-65.42,47.62,NA,"Unknown"
"Site 20 (Mott unpublished)",2056,2131,99,-65.75,47.5,NA,"Unknown"
"Corser Bog",13897,21312,42,-145.45421,60.530125,"Peatland on the Copper River Delta dominated by Sphagnum moss, Carex, Andromeda polifolia, Gentiana douglasiana, and surrounded by the three dominant conifers: Picea sitchensis, Tsuga heterophylla, and Tsuga mertensiana.","Raised Bog"
"Corser Bog",13897,21314,42,-145.45421,60.530125,"Peatland on the Copper River Delta dominated by Sphagnum moss, Carex, Andromeda polifolia, Gentiana douglasiana, and surrounded by the three dominant conifers: Picea sitchensis, Tsuga heterophylla, and Tsuga mertensiana.","Raised Bog"
"Lac Triangle",13899,21317,465,-65.41279,48.710435,"Rock basin lake. Physiography: Hilly morainic landscape. Surrounding vegetation: Abies balsamea, Picea mariana.","Glacial Origin Lake"
"Lac Triangle",13899,21319,465,-65.41279,48.710435,"Rock basin lake. Physiography: Hilly morainic landscape. Surrounding vegetation: Abies balsamea, Picea mariana.","Glacial Origin Lake"
"Site 21 (Mott unpublished)",2057,2132,405,-66.22,47.57,NA,"Unknown"
"Site 22 (Mott unpublished)",2058,2133,281,-66.18,47.83,NA,"Unknown"
"Graben Dome, Diamond Craters",13906,21334,1400,-118.7535,43.09,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Graben Dome was formed by injection of magma in the shallow subsurface. It takes its name from an axial crack along the crest. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Graben Dome, Diamond Craters",13906,21338,1400,-118.7535,43.09,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Graben Dome was formed by injection of magma in the shallow subsurface. It takes its name from an axial crack along the crest. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Site 23 (Mott unpublished)",2059,2134,243,-66.62,47.92,NA,"Unknown"
"Graben Dome, Diamond Craters",13906,21342,1400,-118.7535,43.09,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Graben Dome was formed by injection of magma in the shallow subsurface. It takes its name from an axial crack along the crest. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Graben Dome, Diamond Craters",13906,21349,1400,-118.7535,43.09,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Graben Dome was formed by injection of magma in the shallow subsurface. It takes its name from an axial crack along the crest. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Site 24 (Mott unpublished)",2060,2135,99,-66.77,47.97,NA,"Unknown"
"Graben Dome, Diamond Craters",13906,21353,1400,-118.7535,43.09,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Graben Dome was formed by injection of magma in the shallow subsurface. It takes its name from an axial crack along the crest. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Graben Dome, Diamond Craters",13906,21357,1400,-118.7535,43.09,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Graben Dome was formed by injection of magma in the shallow subsurface. It takes its name from an axial crack along the crest. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Site 25 (Mott unpublished)",2061,2136,137,-67.4,46.9,NA,"Unknown"
"Graben Dome, Diamond Craters",13906,21361,1400,-118.7535,43.09,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Graben Dome was formed by injection of magma in the shallow subsurface. It takes its name from an axial crack along the crest. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Graben Dome, Diamond Craters",13906,21365,1400,-118.7535,43.09,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Graben Dome was formed by injection of magma in the shallow subsurface. It takes its name from an axial crack along the crest. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Site 26 (Mott unpublished)",2062,2137,289,-68.95,47.4,NA,"Unknown"
"Graben Dome, Diamond Craters",13906,21372,1400,-118.7535,43.09,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Graben Dome was formed by injection of magma in the shallow subsurface. It takes its name from an axial crack along the crest. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Graben Dome, Diamond Craters",13906,21376,1400,-118.7535,43.09,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Graben Dome was formed by injection of magma in the shallow subsurface. It takes its name from an axial crack along the crest. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Graben Dome, Diamond Craters",13906,21379,1400,-118.7535,43.09,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Graben Dome was formed by injection of magma in the shallow subsurface. It takes its name from an axial crack along the crest. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Site 27 (Mott unpublished)",2063,2138,274,-68.75,47.33,NA,"Unknown"
"Nolf Crater, Diamond Craters",13907,21383,1295,-118.804355,43.10736,"Diamond Craters is a basalt lava field located in the southern Harney Basin. Nolf Crater is located on the north side of the West Dome. The last eruption was 7,790 and 7,320 years ago. Surrounding vegetation: Sagebrush with scattered juniper, as well as some saltbush (Atriplex) and greasewood (Sarcobatus) on thin, stony soils.","Neotoma Midden"
"Petit lac Bouchard",13910,21387,145,-64.59709,48.938595,"Lake situated at the east end of the Gaspe peninsula. Surrounding vegetation: Pinus strobus, Picea glauca, Betula, Populus balsmifera, Acer rubrum, Quercus, Ulmus americana, Fraxinus pennsylvanica, and Thuja occidentalis.","Glacial Origin Lake"
"Petit lac Bouchard",13910,21389,145,-64.59709,48.938595,"Lake situated at the east end of the Gaspe peninsula. Surrounding vegetation: Pinus strobus, Picea glauca, Betula, Populus balsmifera, Acer rubrum, Quercus, Ulmus americana, Fraxinus pennsylvanica, and Thuja occidentalis.","Glacial Origin Lake"
"Site 28 (Mott unpublished)",2064,2139,198,-68.5,47.57,NA,"Unknown"
"Catlow Rim",10332,21390,1460,-118.9265,42.5585,"Eastern margin of the Catlow Valley on the lower west escarpment of Steens Mountain. Surrounding vegetation: Sagebrush.","Neotoma Midden"
"Catlow Rim",10332,21391,1460,-118.9265,42.5585,"Eastern margin of the Catlow Valley on the lower west escarpment of Steens Mountain. Surrounding vegetation: Sagebrush.","Neotoma Midden"
"Catlow Rim",10332,21393,1460,-118.9265,42.5585,"Eastern margin of the Catlow Valley on the lower west escarpment of Steens Mountain. Surrounding vegetation: Sagebrush.","Neotoma Midden"
"Catlow Rim",10332,21394,1460,-118.9265,42.5585,"Eastern margin of the Catlow Valley on the lower west escarpment of Steens Mountain. Surrounding vegetation: Sagebrush.","Neotoma Midden"
"Catlow Rim",10332,21396,1460,-118.9265,42.5585,"Eastern margin of the Catlow Valley on the lower west escarpment of Steens Mountain. Surrounding vegetation: Sagebrush.","Neotoma Midden"
"Arrington Marsh",213,214,280,-95.52667,39.495,"Spring marsh along edge of floodplain. Physiography: floodplain edge of the Delaware River.","Mire"
"Site 29 (Mott unpublished)",2065,2140,243,-66.9,47.42,NA,"Unknown"
"Petit lac Bouchard",13910,21402,145,-64.59709,48.938595,"Lake situated at the east end of the Gaspe peninsula. Surrounding vegetation: Pinus strobus, Picea glauca, Betula, Populus balsmifera, Acer rubrum, Quercus, Ulmus americana, Fraxinus pennsylvanica, and Thuja occidentalis.","Glacial Origin Lake"
"Petit lac Bouchard",13910,21404,145,-64.59709,48.938595,"Lake situated at the east end of the Gaspe peninsula. Surrounding vegetation: Pinus strobus, Picea glauca, Betula, Populus balsmifera, Acer rubrum, Quercus, Ulmus americana, Fraxinus pennsylvanica, and Thuja occidentalis.","Glacial Origin Lake"
"Petit lac Bouchard",13910,21405,145,-64.59709,48.938595,"Lake situated at the east end of the Gaspe peninsula. Surrounding vegetation: Pinus strobus, Picea glauca, Betula, Populus balsmifera, Acer rubrum, Quercus, Ulmus americana, Fraxinus pennsylvanica, and Thuja occidentalis.","Glacial Origin Lake"
"Petit lac Bouchard",13910,21406,145,-64.59709,48.938595,"Lake situated at the east end of the Gaspe peninsula. Surrounding vegetation: Pinus strobus, Picea glauca, Betula, Populus balsmifera, Acer rubrum, Quercus, Ulmus americana, Fraxinus pennsylvanica, and Thuja occidentalis.","Glacial Origin Lake"
"Site 30 (Mott unpublished)",2066,2141,335,-67.75,47.92,NA,"Unknown"
"Newark Valley Pond",13920,21412,1750,-115.77398,39.67283,"Newark Valley Pond is ~7 m in diameter and flows through a wet meadow ~30×40 m to a pool ~20 mi in diameter, with a maximum water depth of 50 cm. Pool is surrounded by Typha and Carex in shallow water. Surrounding upland vegetation is Artemisia steppe dominated by Artemisia tridentata var. tridentata, A. t. var. wyomingensis, Chrysothamnus viscidiflorus, Sarbatus vermiculatus, and Atriplex confertifolia. Scattered Juniperus osteosperma grow on rocky slopes above the site. Pinus flexilis occurs at the highest elevations above ~3000 m.","Spring Pond"
"Newark Valley Pond",13920,21413,1750,-115.77398,39.67283,"Newark Valley Pond is ~7 m in diameter and flows through a wet meadow ~30×40 m to a pool ~20 mi in diameter, with a maximum water depth of 50 cm. Pool is surrounded by Typha and Carex in shallow water. Surrounding upland vegetation is Artemisia steppe dominated by Artemisia tridentata var. tridentata, A. t. var. wyomingensis, Chrysothamnus viscidiflorus, Sarbatus vermiculatus, and Atriplex confertifolia. Scattered Juniperus osteosperma grow on rocky slopes above the site. Pinus flexilis occurs at the highest elevations above ~3000 m.","Spring Pond"
"Newark Valley Pond",13920,21414,1750,-115.77398,39.67283,"Newark Valley Pond is ~7 m in diameter and flows through a wet meadow ~30×40 m to a pool ~20 mi in diameter, with a maximum water depth of 50 cm. Pool is surrounded by Typha and Carex in shallow water. Surrounding upland vegetation is Artemisia steppe dominated by Artemisia tridentata var. tridentata, A. t. var. wyomingensis, Chrysothamnus viscidiflorus, Sarbatus vermiculatus, and Atriplex confertifolia. Scattered Juniperus osteosperma grow on rocky slopes above the site. Pinus flexilis occurs at the highest elevations above ~3000 m.","Spring Pond"
"Newark Valley Pond",13920,21415,1750,-115.77398,39.67283,"Newark Valley Pond is ~7 m in diameter and flows through a wet meadow ~30×40 m to a pool ~20 mi in diameter, with a maximum water depth of 50 cm. Pool is surrounded by Typha and Carex in shallow water. Surrounding upland vegetation is Artemisia steppe dominated by Artemisia tridentata var. tridentata, A. t. var. wyomingensis, Chrysothamnus viscidiflorus, Sarbatus vermiculatus, and Atriplex confertifolia. Scattered Juniperus osteosperma grow on rocky slopes above the site. Pinus flexilis occurs at the highest elevations above ~3000 m.","Spring Pond"
"Kingston Meadow",13922,21417,2400,-117.1655,39.25318,"Wet meadow dominated by sedge (Carex rostrata and C. nebrascensis) along a riparian system in the Toiyabe Range of central Nevada. Surface water covers most of the meadow to a depth of approximately 10 cm. Upland vegetation Artemisia steppe with scattered Juniperus osteosperma.","Valley Mire"
"Kingston Meadow",13922,21418,2400,-117.1655,39.25318,"Wet meadow dominated by sedge (Carex rostrata and C. nebrascensis) along a riparian system in the Toiyabe Range of central Nevada. Surface water covers most of the meadow to a depth of approximately 10 cm. Upland vegetation Artemisia steppe with scattered Juniperus osteosperma.","Valley Mire"
"Upper Squaw Lake",13923,21419,930,-123.014855,42.032085,"Surrounding vegetation: Douglas-fir, Pacific madrone, ponderosa pine, canyon live oak. The bedrock of 90% of the watershed is graphitic. quartz-mica schist and serpentine.","Landslide Origin Lake"
"Upper Squaw Lake",13923,21420,930,-123.014855,42.032085,"Surrounding vegetation: Douglas-fir, Pacific madrone, ponderosa pine, canyon live oak. The bedrock of 90% of the watershed is graphitic. quartz-mica schist and serpentine.","Landslide Origin Lake"
"Upper Squaw Lake",13923,21421,930,-123.014855,42.032085,"Surrounding vegetation: Douglas-fir, Pacific madrone, ponderosa pine, canyon live oak. The bedrock of 90% of the watershed is graphitic. quartz-mica schist and serpentine.","Landslide Origin Lake"
"Upper Squaw Lake",13923,21422,930,-123.014855,42.032085,"Surrounding vegetation: Douglas-fir, Pacific madrone, ponderosa pine, canyon live oak. The bedrock of 90% of the watershed is graphitic. quartz-mica schist and serpentine.","Landslide Origin Lake"
"Stand 1 (Mack and Bryant 1974]",2068,2143,488,-118.96,47.43,NA,"Moss Polster"
"Stand 2 (Mack and Bryant 1974]",2069,2144,549,-118.75,47.45,NA,"Moss Polster"
"Stand 3 (Mack and Bryant 1974]",2070,2145,366,-119.41,47.21,NA,"Moss Polster"
"Stand 4 (Mack and Bryant 1974]",2071,2146,518,-118.68,47.35,NA,"Moss Polster"
"Stand 5 (Mack and Bryant 1974]",2072,2147,732,-117.13,46.73,NA,"Moss Polster"
"Stand 6 (Mack and Bryant 1974]",2073,2148,564,-118.58,47.13,NA,"Moss Polster"
"Stand 7 (Mack and Bryant 1974]",2074,2149,290,-119.6,46.88,NA,"Moss Polster"
"Stand 8 (Mack and Bryant 1974]",2075,2150,457,-118.65,46.8,NA,"Moss Polster"
"Stand 9 (Mack and Bryant 1974]",2076,2151,610,-118.86,47.63,NA,"Moss Polster"
"Stand 10 (Mack and Bryant 1974]",2077,2152,351,-119.13,46.8,NA,"Moss Polster"
"Stand 11 (Mack and Bryant 1974]",2078,2153,366,-119.75,47.15,NA,"Moss Polster"
"Stand 12 (Mack and Bryant 1974]",2079,2154,411,-120.26,46.53,NA,"Moss Polster"
"Stand 13 (Mack and Bryant 1974]",2080,2155,732,-117.23,46.81,NA,"Moss Polster"
"Stand 14 (Mack and Bryant 1974]",2081,2156,701,-118.7,47.7,NA,"Moss Polster"
"Stand 15 (Mack and Bryant 1974]",2082,2157,488,-118.93,46.5,NA,"Moss Polster"
"Stoll Lake",13975,21576,303,-77.289295,44.973845,"Heavily glaciated region near the northern edge of the Eastern Great Lakes Lowland Forest Region. Cold-tolerant softwoods dominate the forest. ","Glacial Origin Lake"
"Stoll Lake",13975,21577,303,-77.289295,44.973845,"Heavily glaciated region near the northern edge of the Eastern Great Lakes Lowland Forest Region. Cold-tolerant softwoods dominate the forest. ","Glacial Origin Lake"
"Stand 16 (Mack and Bryant 1974]",2083,2158,427,-119.88,46.53,NA,"Moss Polster"
"Stand 17 (Mack and Bryant 1974]",2084,2159,366,-119.43,47.15,NA,"Moss Polster"
"Tawny Pond",13980,21599,276,-77.18251,44.81639,"Heavily glaciated region near the northern edge of the Eastern Great Lakes Lowland Forest Region. Cold-tolerant softwoods dominate the forest.","Glacial Origin Lake"
"Vreeland Pond",215,216,194,-74.25,41.05,NA,"Unknown"
"Stand 18 (Mack and Bryant 1974]",2085,2160,503,-118.43,46.78,NA,"Moss Polster"
"Tawny Pond",13980,21600,276,-77.18251,44.81639,"Heavily glaciated region near the northern edge of the Eastern Great Lakes Lowland Forest Region. Cold-tolerant softwoods dominate the forest.","Glacial Origin Lake"
"Stand 19 (Mack and Bryant 1974]",2086,2161,549,-117.96,47.31,NA,"Moss Polster"
"Stand 20 (Mack and Bryant 1974]",2087,2162,457,-118.51,46.78,NA,"Moss Polster"
"Stand 21 (Mack and Bryant 1974]",2088,2163,351,-118.15,46.76,NA,"Moss Polster"
"Stand 22 (Mack and Bryant 1974]",2089,2164,351,-119.13,46.8,NA,"Moss Polster"
"Stand 23 (Mack and Bryant 1974]",2090,2165,427,-117.88,46.8,NA,"Moss Polster"
"Stand 24 (Mack and Bryant 1974]",2091,2166,351,-119.03,46.72,NA,"Moss Polster"
"Stand 25 (Mack and Bryant 1974]",2092,2167,488,-117.65,46.82,NA,"Moss Polster"
"Stand 26 (Mack and Bryant 1974]",2093,2168,427,-117.97,46.77,NA,"Moss Polster"
"Stand 27 (Mack and Bryant 1974]",2094,2169,290,-118.77,46.63,NA,"Moss Polster"
"Stand 28 (Mack and Bryant 1974]",2095,2170,610,-118.1,47.37,NA,"Moss Polster"
"Dudley",14005,21709,423,-98.29587,44.669125,NA,"Reservoir"
"Stand 29 (Mack and Bryant 1974]",2096,2171,351,-119,46.7,NA,"Moss Polster"
"Dudley",14005,21710,423,-98.29587,44.669125,NA,"Reservoir"
"Stand 30 (Mack and Bryant 1974]",2097,2172,457,-118.37,46.77,NA,"Moss Polster"
"Gibbs Lake",14012,21727,295,-89.18066,42.782095,NA,"Natural Lake"
"Gibbs Lake",14012,21728,295,-89.18066,42.782095,NA,"Natural Lake"
"Stand 31 (Mack and Bryant 1974]",2098,2173,290,-119.08,46.73,NA,"Moss Polster"
"Stand 32 (Mack and Bryant 1974]",2099,2174,488,-117.85,46.82,NA,"Moss Polster"
"Stand 33 (Mack and Bryant 1974]",2100,2175,610,-117.95,47.28,NA,"Moss Polster"
"Stand 34 (Mack and Bryant 1974]",2101,2176,335,-118.58,46.65,NA,"Moss Polster"
"Hippa Lake",14031,21769,230,-132.97333,53.53167,"Shallow lake on Hippa Island with no inflowing streams","Glacial Origin Lake"
"Stand 35 (Mack and Bryant 1974]",2102,2177,320,-118.47,46.67,NA,"Moss Polster"
"Hippa Lake",14031,21770,230,-132.97333,53.53167,"Shallow lake on Hippa Island with no inflowing streams","Glacial Origin Lake"
"Misty Lake",14032,21771,70,-127.26283,50.60705,"Moderate-sized, humic lake, with a small stream that flows through 500m of wetland before entering the lake","Natural Lake"
"Misty Lake",14032,21772,70,-127.26283,50.60705,"Moderate-sized, humic lake, with a small stream that flows through 500m of wetland before entering the lake","Natural Lake"
"Port McNeill Bog",14033,21773,93,-127.0722,50.5725,"Flat ombrotrophic bog along a roadside; surface vegetation dominated by ericaceous shrubs, Sphagnum capillifolium and Sphagnum fuscum. Open Pinus contorta bog-woodland surrounds the bog","Bog"
"Port McNeill Bog",14033,21774,93,-127.0722,50.5725,"Flat ombrotrophic bog along a roadside; surface vegetation dominated by ericaceous shrubs, Sphagnum capillifolium and Sphagnum fuscum. Open Pinus contorta bog-woodland surrounds the bog","Bog"
"Stand 36 (Mack and Bryant 1974]",2103,2178,244,-120.45,46.28,NA,"Moss Polster"
"Roe Lake",14039,21786,100,-123.30328,48.7827,"Small lake with no inflowing streams in bedrock depression. Forests surrounding the lake are dominated by Pseudotsuga menziesii, Thuja plicata, and Abies grandis in the canopy, with Acer macrophyllum and A. glabrum present along the lake margin and Gaultheria shallon, Symphoricarpos albus, Polystichum munitum, and Pteridium aquilinum common in the understory. A stand of Alnus rubra is located along the southeastern margin of the lake. Xeric taxa, including Arbutus menziesii and Quercus garryana, are scattered on the adjacent ridges.","Natural Lake"
"Roe Lake",14039,21788,100,-123.30328,48.7827,"Small lake with no inflowing streams in bedrock depression. Forests surrounding the lake are dominated by Pseudotsuga menziesii, Thuja plicata, and Abies grandis in the canopy, with Acer macrophyllum and A. glabrum present along the lake margin and Gaultheria shallon, Symphoricarpos albus, Polystichum munitum, and Pteridium aquilinum common in the understory. A stand of Alnus rubra is located along the southeastern margin of the lake. Xeric taxa, including Arbutus menziesii and Quercus garryana, are scattered on the adjacent ridges.","Natural Lake"
"Stand 37 (Mack and Bryant 1974]",2104,2179,549,-117.7,46.93,NA,"Moss Polster"
"Horseshoe Lake",8585,21791,27,-90.09503,38.7018,NA,"Oxbow Lake"
"Horseshoe Lake",8585,21792,27,-90.09503,38.7018,NA,"Oxbow Lake"
"Grassy Lake",14044,21799,104,-89.378865,37.42641,"Floodplain lake in the central Mississippi River valey. ","Oxbow Lake"
"Lac des Atocas",217,218,114,-73.31111,45.54306,"Rock basin lake with marginal bog. Physiography: Hilly moraine. Surrounding vegetation: Caryo - Aceretum sacchari.","Natural Lake"
"Stand 38 (Mack and Bryant 1974]",2105,2180,411,-118.3,46.78,NA,"Moss Polster"
"Grassy Lake",14044,21800,104,-89.378865,37.42641,"Floodplain lake in the central Mississippi River valey. ","Oxbow Lake"
"Stand 39 (Mack and Bryant 1974]",2106,2181,213,-119.62,46.73,NA,"Moss Polster"
"Sunwapta Pass Bog 2",14049,21810,2045,-117.16168,52.21426,"Bog vegetated by sedges and mosses, surrounded by willow and dwarf birch. Surrounding forest is characterised by Engelmann spruce and subalpine fir.","Bog"
"Stand 40 (Mack and Bryant 1974]",2107,2182,366,-120.47,46.22,NA,"Moss Polster"
"Sunwapta Pass Bog 6",14055,21821,2045,-117.19451,52.21728,"Bog vegetated by sedges and mosses, surrounded by willow and dwarf birch. Surrounding forest is characterised by Engelmann spruce and subalpine fir.","Bog"
"Sunwapta Pass Bog 6",14055,21822,2045,-117.19451,52.21728,"Bog vegetated by sedges and mosses, surrounded by willow and dwarf birch. Surrounding forest is characterised by Engelmann spruce and subalpine fir.","Bog"
"Sunwapta Pass Bog 1",14056,21825,2045,-117.181465,52.21426,"Bog vegetated by sedges and mosses, surrounded by willow and dwarf birch. Surrounding forest is characterised by Engelmann spruce and subalpine fir.","Bog"
"Sunwapta Pass Bog 1",14056,21826,2045,-117.181465,52.21426,"Bog vegetated by sedges and mosses, surrounded by willow and dwarf birch. Surrounding forest is characterised by Engelmann spruce and subalpine fir.","Bog"
"Stand 41 (Mack and Bryant 1974]",2108,2183,457,-118.18,47,NA,"Moss Polster"
"Lake AT01",14051,21830,115,-84.2054,53.27892,"AT01 is a small, shallow, alkaline, meso-oligotrophic lake raised above the surrounding peatlands by ~10 m. AT01 is located on the western flank of an asymmetric ridge, likely an end moraine, which originated along a former ice margin of the Laurentide Ice Sheet. The lake is located in the high boreal forest ecoclimatic region in the zone of discontinuous permafrost.","Glacial Origin Lake"
"Stand 42 (Mack and Bryant 1974]",2109,2184,488,-118.08,46.8,NA,"Moss Polster"
"Mission Cross Bog",10507,21842,2424,-115.48365,41.7847,"Spring-fed fen. Growing on the fen are Sphagnum, sedges, Menyanthes trifoliata, Pedicularis groenlandica, Thalictrum spp., and Salix spp. On the northern slope bordering the fen, fields of Balsamorhiza sagittata grow with Lupinus. To the east, south, and west are scattered stands of Populus tremuloides.","Fen"
"Mission Cross Bog",10507,21844,2424,-115.48365,41.7847,"Spring-fed fen. Growing on the fen are Sphagnum, sedges, Menyanthes trifoliata, Pedicularis groenlandica, Thalictrum spp., and Salix spp. On the northern slope bordering the fen, fields of Balsamorhiza sagittata grow with Lupinus. To the east, south, and west are scattered stands of Populus tremuloides.","Fen"
"Stand 43 (Mack and Bryant 1974]",2110,2185,229,-120.32,46.33,NA,"Moss Polster"
"Stand 44 (Mack and Bryant 1974]",2111,2186,488,-118.12,46.72,NA,"Moss Polster"
"Stand 45 (Mack and Bryant 1974]",2112,2187,259,-120.67,46.38,NA,"Moss Polster"
"Stand 46 (Mack and Bryant 1974]",2113,2188,259,-120.65,46.38,NA,"Moss Polster"
"Stand 47 (Mack and Bryant 1974]",2114,2189,610,-120.47,46.9,NA,"Moss Polster"
"ODP Hole 893A",14071,21892,0,-120.061345,34.27818,"Ocean Drilliing Project core, Santa Barbara Basin. Nearby coastal vegetation: Introduced herbs and grasses are common in the coastal plain. Coastal sage scrub grows on xeric sites, while Chaparral is found on more mesic sites and burns more frequently. Oaks dominate on north facing slopes, in canyons, and in mesic areas of the coastal marine terraces. California juniper grows in scattered stands.","Marine"
"ODP Hole 893A",14071,21893,0,-120.061345,34.27818,"Ocean Drilliing Project core, Santa Barbara Basin. Nearby coastal vegetation: Introduced herbs and grasses are common in the coastal plain. Coastal sage scrub grows on xeric sites, while Chaparral is found on more mesic sites and burns more frequently. Oaks dominate on north facing slopes, in canyons, and in mesic areas of the coastal marine terraces. California juniper grows in scattered stands.","Marine"
"Lac des Atocas",217,219,114,-73.31111,45.54306,"Rock basin lake with marginal bog. Physiography: Hilly moraine. Surrounding vegetation: Caryo - Aceretum sacchari.","Natural Lake"
"Stand 48 (Mack and Bryant 1974]",2115,2190,274,-120.7,46.38,NA,"Moss Polster"
"Stand 49 (Mack and Bryant 1974]",2116,2191,488,-119.8,46.55,NA,"Moss Polster"
"Stand 50 (Mack and Bryant 1974]",2117,2192,213,-119.42,46.73,NA,"Moss Polster"
"Stand 51 (Mack and Bryant 1974]",2118,2193,244,-119.48,46.38,NA,"Moss Polster"
"Stand 52 (Mack and Bryant 1974]",2119,2194,549,-118.68,47.1,NA,"Moss Polster"
"Stand 53 (Mack and Bryant 1974]",2120,2195,381,-119.85,47.13,NA,"Moss Polster"
"Stand 54 (Mack and Bryant 1974]",2121,2196,610,-119.67,47.6,NA,"Moss Polster"
"Stand 55 (Mack and Bryant 1974]",2122,2197,655,-119.37,47.88,NA,"Moss Polster"
"Stand 56 (Mack and Bryant 1974]",2123,2198,671,-119.58,47.88,NA,"Moss Polster"
"Stand 57 (Mack and Bryant 1974]",2124,2199,792,-119.8,47.73,NA,"Moss Polster"
"Stand 58 (Mack and Bryant 1974]",2125,2200,274,-119.22,46.13,NA,"Moss Polster"
"Stand 59 (Mack and Bryant 1974]",2126,2201,762,-119.73,47.83,NA,"Moss Polster"
"Stand 60 (Mack and Bryant 1974]",2127,2202,518,-118.32,46.83,NA,"Moss Polster"
"Stand 61 (Mack and Bryant 1974]",2128,2203,457,-118.85,47.08,NA,"Moss Polster"
"Stand 62 (Mack and Bryant 1974]",2129,2204,335,-119.48,45.95,NA,"Moss Polster"
"Stand 63 (Mack and Bryant 1974]",2130,2205,152,-119.48,46.28,NA,"Moss Polster"
"Stand 64 (Mack and Bryant 1974]",2131,2206,137,-119.43,46.38,NA,"Moss Polster"
"Stand 65 (Mack and Bryant 1974]",2132,2207,305,-119.73,46.2,NA,"Moss Polster"
